RD,RD*,RD*_mu,RJpsi,BKnunu,BKsnunu,RK,RK*,RK*_low
0.3463228015545757,0.2853993719732018,0.2858542113369745,0.3012656177527477,3.3380011401419195e-06,7.237843993098269e-06,1.0009289537116213,0.996028112807625,0.9243303646898898
0.3485852557448415,0.2872638783917306,0.28772168920881286,0.3032337793634298,8.886352693025926e-06,1.926841753431128e-05,1.0009547014046056,0.9959650347309494,0.9241701131686288
0.3310103273891952,0.2727805202892531,0.2732152490605663,0.28794524323143117,9.141093601505386e-06,1.9820781333494333e-05,1.0009093034252312,0.9960779695439334,0.9244573147692259
0.3414881507864615,0.28141510737369946,0.28186359703756353,0.29705985260809237,1.0997782866962303e-05,2.3846706840835742e-05,1.0008783591254073,0.9961590600959442,0.9246902978948974
0.3354987350298465,0.27647928822573015,0.2769199117025741,0.291849635178783,8.501150276014948e-06,1.8433209776404473e-05,1.0008671599103496,0.9961892999237879,0.9247762920867189
0.33824076843919576,0.2787389766446396,0.27918320137411723,0.2942349472073124,8.173092368455278e-06,1.7721876356844503e-05,1.0008745471982694,0.9961693122656485,0.9247185603847937
0.344143994846487,0.2836038138150741,0.28405579160798594,0.299370237916948,3.0744939070453624e-06,6.6664845389629215e-06,1.0009110925715479,0.9960732965654334,0.9244501513970986
0.35644699019273385,0.29374259141898545,0.2942107273243389,0.3100726631807163,5.260736284986856e-06,1.140696213915534e-05,1.000929103210996,0.9960276724535981,0.9243331383214433
0.3462965768226228,0.2853777312900524,0.2858325361651986,0.3012427731078384,3.6497338045507508e-06,7.91379052879551e-06,1.0009075472904059,0.9960823964019205,0.9244751822606695
0.3464168753097094,0.2854769561237969,0.28593191913297755,0.30134751682993566,1.5387923807727124e-05,3.3365880270354604e-05,1.0009601373984311,0.9959520559825709,0.9241369650653805
0.36445151377238744,0.30033909319257546,0.3008177419054285,0.3170358875518531,3.0330275070326175e-06,6.57656576419778e-06,1.0009762739126213,0.9959139406464649,0.9240530504647277
0.339937770643894,0.28013755152413466,0.280584005154455,0.2957112761940634,8.547957190189033e-06,1.853467135522947e-05,1.000933118848429,0.9960177888339911,0.9243009748874547
0.3461029547203554,0.28521812447406086,0.2856726749847375,0.30107429189194895,1.2540570317353272e-05,2.719196324873082e-05,1.0008875073661692,0.9961346850415834,0.9246221872567738
0.34511907293905597,0.28440734684359764,0.2848606052225498,0.3002184413864038,5.087493279638591e-06,1.1031314093543319e-05,1.0009034142105704,0.996093058465677,0.9245049790939694
0.345975164058319,0.28511280606831085,0.28556718873364223,0.3009631182714545,1.5018554876646369e-05,3.256502317567111e-05,1.0008833506002661,0.9961457126964111,0.9246537415069106
0.3307146191466101,0.2725367506165337,0.27297109089351806,0.2876879192164404,5.766745223991348e-06,1.2504146483666094e-05,1.0008617277360832,0.9962041333418962,0.9248183479918909
0.3462512770638135,0.2853403667590993,0.28579511208661046,0.30120333036437436,9.314822933780337e-06,2.019751477185597e-05,1.0008945499557422,0.9961161402590416,0.9245697826954933
0.34512852520008824,0.2844151451789383,0.28486841598605184,0.300226673519744,3.974798552314325e-06,8.61863537798124e-06,1.0009067065483812,0.9960845582529095,0.9244813356745345
0.36607423057414795,0.3016763115349689,0.3021570913651317,0.3184474448039097,7.421793171960681e-06,1.6092826935072024e-05,1.0009485552860455,0.9959797305294742,0.9242139958123521
0.33159152952375176,0.27325947958497115,0.27369497167100265,0.28845082932179594,7.4536011994433674e-06,1.616176430696106e-05,1.0009041165075734,0.9960913358894776,0.9244938131294901
0.33949662820218507,0.27977393363787106,0.2802198077724448,0.2953274412809348,5.551688706302784e-06,1.2037836609134478e-05,1.0008796600019805,0.9961556055370145,0.9246782356751057
0.34848253155043624,0.28717923523035527,0.2876369111521077,0.3031444309427889,1.2401822060456098e-05,2.6891065907080965e-05,1.000964032305256,0.9959427797178296,0.9241157060692505
0.37028401904437314,0.30514555286156086,0.3056318616019768,0.32210955241869343,1.0261169386486647e-05,2.2249502426288372e-05,1.0009491352247044,0.9959783043749044,0.9242114746817652
0.3406340322675916,0.2807112551652859,0.28115862310387063,0.2963168714888386,6.256400552504035e-06,1.3565876516530772e-05,1.000872914592337,0.9961737269115364,0.9247301144096046
0.3452965317808177,0.28455356933480713,0.2850070607477237,0.3003727922297865,8.891750563645203e-06,1.9280156507069106e-05,1.0008734845922342,0.996172177161997,0.9247266796433883
0.3465583216964534,0.2855934212247704,0.2860485698437481,0.30147045358422325,5.153462021763037e-06,1.1174354693571272e-05,1.0008921723044164,0.9961224152483555,0.9245849762475616
0.3412973840205735,0.28125791128652444,0.2817061504278733,0.29689391785593866,7.509194344573307e-06,1.62823340568928e-05,1.000879513818292,0.9961559844188618,0.9246802783640424
0.35495556426781805,0.2925135068552712,0.29297968397552,0.30877524935541445,7.514024701454795e-06,1.629281185263595e-05,1.000921495518907,0.9960467702550562,0.9243835276207303
0.3273670764774605,0.269778080614854,0.2702080244150796,0.28477588596990333,4.003105827797975e-06,8.680012375930489e-06,1.0008590972897162,0.996211358501151,0.9248384471526278
0.3257776033269606,0.2684682746186703,0.2688961309884838,0.28339326549373517,8.917213051886193e-06,1.9335339137190485e-05,1.0008938076929426,0.9961182133853198,0.9245664301408687
0.35523579446862685,0.292744455723968,0.29321100090611696,0.30901903784472873,5.033154803168792e-06,1.0913492693652658e-05,1.0009314718691469,0.9960217658523292,0.9243179162193879
0.34003274600871297,0.28021581781313304,0.2806623961759955,0.2957938935012736,7.93534345744124e-06,1.7206331249825137e-05,1.000931279809621,0.9960223584102239,0.9243128394237756
