C1,C3,bq,likelihood
-0.306,-0.306,0.6409892,-36.060137043297644
-0.29975999999999997,-0.306,0.6409892,-35.35428153851247
-0.29352,-0.306,0.6409892,-35.147628573139286
-0.28728,-0.306,0.6409892,-35.52990331566387
-0.28104,-0.306,0.6409892,-36.67299442860775
-0.2748,-0.306,0.6409892,-38.69401243800323
-0.26856,-0.306,0.6409892,-41.711851235867755
-0.26232,-0.306,0.6409892,-45.876535099402375
-0.25608,-0.306,0.6409892,-51.295714993400196
-0.24984,-0.306,0.6409892,-58.08228248832721
-0.24359999999999998,-0.306,0.6409892,-66.34378585356053
-0.23736,-0.306,0.6409892,-76.19196544185318
-0.23112,-0.306,0.6409892,-88.01772521546708
-0.22488,-0.306,0.6409892,-102.27587235579138
-0.21864,-0.306,0.6409892,-102.27587235579138
-0.21239999999999998,-0.306,0.6409892,-102.27587235579138
-0.20616,-0.306,0.6409892,-102.27587235579138
-0.19992,-0.306,0.6409892,-102.27587235579138
-0.19368000000000002,-0.306,0.6409892,-102.27587235579138
-0.18744,-0.306,0.6409892,-102.27587235579138
-0.18119999999999997,-0.306,0.6409892,-102.27587235579138
-0.17496,-0.306,0.6409892,-102.27587235579138
-0.16871999999999998,-0.306,0.6409892,-102.27587235579138
-0.16247999999999999,-0.306,0.6409892,-102.27587235579138
-0.15624,-0.306,0.6409892,-102.27587235579138
-0.15,-0.306,0.6409892,-102.27587235579138
-0.14376,-0.306,0.6409892,-102.27587235579138
-0.13751999999999998,-0.306,0.6409892,-102.27587235579138
-0.13127999999999998,-0.306,0.6409892,-102.27587235579138
-0.12504,-0.306,0.6409892,-102.27587235579138
-0.11879999999999999,-0.306,0.6409892,-102.27587235579138
-0.11256,-0.306,0.6409892,-102.27587235579138
-0.10632,-0.306,0.6409892,-102.27587235579138
-0.10007999999999997,-0.306,0.6409892,-102.27587235579138
-0.09383999999999998,-0.306,0.6409892,-102.27587235579138
-0.08760000000000001,-0.306,0.6409892,-102.27587235579138
-0.08136000000000002,-0.306,0.6409892,-102.27587235579138
-0.07511999999999999,-0.306,0.6409892,-102.27587235579138
-0.06888,-0.306,0.6409892,-102.27587235579138
-0.06263999999999997,-0.306,0.6409892,-102.27587235579138
-0.05639999999999998,-0.306,0.6409892,-102.27587235579138
-0.05015999999999998,-0.306,0.6409892,-102.27587235579138
-0.043920000000000015,-0.306,0.6409892,-102.27587235579138
-0.03767999999999999,-0.306,0.6409892,-102.27587235579138
-0.03143999999999997,-0.306,0.6409892,-102.27587235579138
-0.0252,-0.306,0.6409892,-102.27587235579138
-0.018959999999999977,-0.306,0.6409892,-102.27587235579138
-0.012720000000000009,-0.306,0.6409892,-102.27587235579138
-0.006479999999999986,-0.306,0.6409892,-102.27587235579138
-0.00024000000000001798,-0.306,0.6409892,-102.27587235579138
-0.306,-0.29975999999999997,0.6409892,-32.96274095576908
-0.29975999999999997,-0.29975999999999997,0.6409892,-31.953299645667162
-0.29352,-0.29975999999999997,0.6409892,-31.252380084574366
-0.28728,-0.29975999999999997,0.6409892,-31.02947668517136
-0.28104,-0.29975999999999997,0.6409892,-31.40320727845056
-0.2748,-0.29975999999999997,0.6409892,-32.49801380634517
-0.26856,-0.29975999999999997,0.6409892,-34.47278833595955
-0.26232,-0.29975999999999997,0.6409892,-37.44686248577142
-0.25608,-0.29975999999999997,0.6409892,-41.54635923382328
-0.24984,-0.29975999999999997,0.6409892,-46.891719955586964
-0.24359999999999998,-0.29975999999999997,0.6409892,-53.59634760322584
-0.23736,-0.29975999999999997,0.6409892,-61.762759809172735
-0.23112,-0.29975999999999997,0.6409892,-71.51059510837332
-0.22488,-0.29975999999999997,0.6409892,-83.181897954739
-0.21864,-0.29975999999999997,0.6409892,-98.15293593095514
-0.21239999999999998,-0.29975999999999997,0.6409892,-102.27587235579138
-0.20616,-0.29975999999999997,0.6409892,-102.27587235579138
-0.19992,-0.29975999999999997,0.6409892,-102.27587235579138
-0.19368000000000002,-0.29975999999999997,0.6409892,-102.27587235579138
-0.18744,-0.29975999999999997,0.6409892,-102.27587235579138
-0.18119999999999997,-0.29975999999999997,0.6409892,-102.27587235579138
-0.17496,-0.29975999999999997,0.6409892,-102.27587235579138
-0.16871999999999998,-0.29975999999999997,0.6409892,-102.27587235579138
-0.16247999999999999,-0.29975999999999997,0.6409892,-102.27587235579138
-0.15624,-0.29975999999999997,0.6409892,-102.27587235579138
-0.15,-0.29975999999999997,0.6409892,-102.27587235579138
-0.14376,-0.29975999999999997,0.6409892,-102.27587235579138
-0.13751999999999998,-0.29975999999999997,0.6409892,-102.27587235579138
-0.13127999999999998,-0.29975999999999997,0.6409892,-102.27587235579138
-0.12504,-0.29975999999999997,0.6409892,-102.27587235579138
-0.11879999999999999,-0.29975999999999997,0.6409892,-102.27587235579138
-0.11256,-0.29975999999999997,0.6409892,-102.27587235579138
-0.10632,-0.29975999999999997,0.6409892,-102.27587235579138
-0.10007999999999997,-0.29975999999999997,0.6409892,-102.27587235579138
-0.09383999999999998,-0.29975999999999997,0.6409892,-102.27587235579138
-0.08760000000000001,-0.29975999999999997,0.6409892,-102.27587235579138
-0.08136000000000002,-0.29975999999999997,0.6409892,-102.27587235579138
-0.07511999999999999,-0.29975999999999997,0.6409892,-102.27587235579138
-0.06888,-0.29975999999999997,0.6409892,-102.27587235579138
