al,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.15,6.091979238847671,-0.702907333160411,-0.04921931252064837,-0.0005060432673644755,-3.843371837231047e-06,14.052817107026252,-0.010678944976746152,-89.36988348065711,0.0041543937976697976,1.1861728848603956,-3.6121443229872323,-1.251327363860355e-05,0.0004196708870090049,-72.40981249879597
-0.14387755102040817,6.503226014094253,-0.7048681008523872,-0.05070711354430202,-0.00046637906553925745,-3.5421824102765953e-06,14.043861738279164,-0.013314950807171044,-79.799092095261,0.004154784604135209,1.187338592149283,-3.085251663480987,-1.155325079338354e-05,0.00039019881814539303,-61.91474407049962
-0.1377551020408163,6.81772204546678,-0.7067533293623711,-0.05214033914483096,-0.00042823903294220145,-3.252549732657428e-06,14.034924058868484,-0.015852643485139595,-70.58950898618896,0.004168131497051419,1.1884434204103975,-2.6159853627602008,-1.0626787846135244e-05,0.00036185649211262216,-51.9350632665772
-0.13163265306122449,7.048648227480044,-0.7085630723331349,-0.053518088676852926,-0.0003916389898144246,-2.974595947224934e-06,14.02604695408857,-0.01829063577020662,-61.79155576569295,0.004180887821408241,1.1895044869307227,-2.200653193720626,-9.734661864158056e-06,0.0003346559923969039,-42.50426989212826
-0.12551020408163266,7.208673753072617,-0.7102964935029874,-0.05483949097253671,-0.000356594192471249,-2.7084388604103893e-06,14.01727095199618,-0.020627568930507323,-53.464712690952496,0.00419310132593953,1.1905217957821481,-1.8354341347718837,-8.87762560886074e-06,0.00030860897449258573,-33.665310348235984
-0.1193877551020408,7.309144555145849,-0.7119527912031458,-0.05610370551877608,-0.0003231193175601277,-2.454191818102025e-06,14.008635597867542,-0.022862132669523305,-45.65582034608971,0.004204766808650007,1.1914930587304813,-1.5165315916689188,-8.056406358036838e-06,0.0002837266538051608,-25.44984249185949
-0.11326530612244898,7.360160017543876,-0.7135311956364347,-0.05730992361151621,-0.00029122844728846076,-2.211963589404675e-06,14.000179611270214,-0.024993067173575412,-38.43908243214911,0.0042158794786750775,1.192417993791473,-1.2402363525830857,-7.271704811628865e-06,0.0002600197937390192,-17.918220161391428
-0.10714285714285714,7.362424085075418,-0.7150309697607966,-0.05845736950148961,-0.00026093505468693934,-1.9818582556174746e-06,13.991939632370947,-0.027019164748537605,-31.79521841898877,0.004226434752328423,1.193296463296445,-1.0028587276372605,-6.5241939690707795e-06,0.00023749869439271265,-11.046729977554234
-0.1010204081632653,7.340122305326531,-0.716451410130297,-0.05954530144653347,-0.0002322519899848885,-1.7639750915510177e-06,13.983951146159143,-0.028939271397796063,-25.783280018291304,0.004236428258578506,1.1941281060626636,-0.8007965141783941,-5.814518083013809e-06,0.0002161731815313317,-4.866598186939037
-0.09489795918367347,7.292288117049338,-0.7177918476977467,-0.060573012790449354,-0.00020519146675823663,-1.5584084719355573e-06,13.97624827199419,-0.030752288343315115,-20.43673199961093,0.004245855843485913,1.194912569847956,-0.6305663406978592,-5.143291630815838e-06,0.00019605259608468373,0.5912634850238945
-0.08877551020408163,7.225028160739157,-0.7190516485871399,-0.06153983294129972,-0.0001797650495198866,-1.3652477610648361e-06,13.968863413212492,-0.032457173481972745,-15.747442212119758,0.0042547135744746,1.1956493513217303,-0.4888017739092536,-4.511098341097863e-06,0.00017714578405048087,5.344494502196858
-0.08265306122448979,7.143678705232105,-0.7202302148271684,-0.06244512834909699,-0.00015598364132429765,-1.1845772227569995e-06,13.961827106875262,-0.03405294277792592,-11.741301083243275,0.004262997744382879,1.196338231168049,-0.37226798509574976,-3.918490245169437e-06,0.00015946108690911842,9.375808061104701
-0.07653061224489796,7.052883140760059,-0.721326985049302,-0.06328830340265057,-0.00013385747226379863,-1.016475926984839e-06,13.955168570882828,-0.03553867158159818,-8.37794226277908,0.004270704875302123,1.1969789479423039,-0.2778758982865295,-3.365986794179321e-06,0.00014300633249675343,12.733334009758844
-0.07040816326530612,6.956663717061929,-0.7223414351432211,-0.0640688012990438,-0.0001133960885688623,-8.61017663611463e-07,13.948915094134286,-0.03691349587992221,-5.649234244263258,0.004277831722199643,1.1975718874002172,-0.20269575034654075,-2.8540740153459865e-06,0.00012778882653563528,15.432185481032931
-0.06428571428571428,6.858487572504146,-0.723273078875053,-0.06478610484728264,-9.460834248997685e-05,-7.182708648967306e-07,13.943091560480767,-0.03817661346580081,-3.507816749514893,0.004284375276300878,1.198117298834692,-0.14396999542771383,-2.3832037001625395e-06,0.00011381534446996966,17.525974370492577
-0.05816326530612245,6.761327118944564,-0.7241214684606945,-0.06543973722769181,-7.750238262715925e-05,-5.882985287808395e-07,13.937721199361546,-0.039327285034168824,-1.8994470488041362,0.004290332768252192,1.1986137778062282,-0.09912548901883689,-1.9537926974066977e-06,0.0001010921240229834,19.07451244798523
-0.05204081632653061,6.667714871156932,-0.7248861950991738,-0.06602926268948295,-6.208564536791528e-05,-4.711581497174322e-07,13.932826338916472,-0.04036483519345779,-0.752657516627945,0.004295701671042984,1.1990610565201791,-0.06578489003308619,-1.5662221866108439e-06,8.962485833308165e-05,20.15420077045411
-0.04591836734693877,6.579812620256462,-0.7255668894551519,-0.06655428718738676,-4.8364846609416645e-05,-3.66901656390084e-07,13.928425283007824,-0.04128865339157528,-0.026363450082342865,0.0043004797026551245,1.1994592390090695,-0.041777222969123784,-1.2208370723243434e-06,7.941868956251597e-05,20.81047658499465
-0.039795918367346944,6.499376324911054,-0.7261632221065213,-0.06701445897460445,-3.634597474544421e-05,-2.755753543137729e-07,13.924536239461583,-0.042098194761912566,0.38045203683129714,0.004304664828503668,1.1998079315082073,-0.025147546153506894,-9.179454103502849e-07,7.047820318462072e-05,21.14808671425177
-0.0336734693877551,6.42791344087982,-0.7266749039331728,-0.06740946912151102,-2.603428384873041e-05,-1.9721987221110737e-07,13.921174037594302,-0.04279298087377015,0.5481315800691124,0.004308255263575589,1.2001070541057626,-0.01416567639673083,-6.578178854965699e-07,6.280742281461471e-05,21.2506272556886
-0.027551020408163263,6.366637621126756,-0.7271016864681883,-0.06773905195427332,-1.7434288270834486e-05,-1.3187012104509677e-07,13.918352116099813,-0.0433726003986834,0.5502599977403904,0.0043112494743589025,1.2003564947815946,-0.007333925045116985,-4.406873532758482e-07,5.6409805715418315e-05,21.194408618316622
-0.021428571428571436,6.316517038232632,-0.7274433621943217,-0.06800298548895611,-1.0549757508471203e-05,-7.955525249681017e-08,13.916081034848748,-0.0438367096808534,0.4535675011559004,0.00431364618045027,1.20055616002311,-0.0033938053580673255,-2.667484775287221e-07,5.128823896782819e-05,21.048398909896374
-0.015306122448979581,6.27829806201089,-0.7276997647973076,-0.06820109173079558,-5.3837120681521355e-06,-4.0298626102774904e-08,13.914370162331572,-0.04418503321763012,0.3175747870217016,0.004315444355937004,1.2007059749085904,-0.0013316763534518827,-1.3615736982330873e-07,4.744503609899198e-05,20.87388874939754
-0.009183673469387754,6.2525240903673875,-0.7278707693638609,-0.06833323695003557,-1.9384203078232076e-06,-1.411778483006998e-08,13.91322597518187,-0.04441736404177021,0.19861599384341844,0.004316643230493078,1.2008058831750592,-0.0003832937089267574,-4.9031349647066236e-08,4.488193458840328e-05,20.72852680209878
-0.0030612244897959273,6.2395496093918155,-0.7279562925353105,-0.06839933188894065,-2.1539581140928021e-07,-1.0244369796907904e-09,13.91265268768155,-0.04453356401435116,0.13030082005982102,0.004317242290211354,1.2008558472687945,-3.7243949009280186e-05,-5.448743678471146e-09,4.360009380022234e-05,20.646793152529394
0.0030612244897959273,6.239549531469265,-0.7279562926058674,-0.06839933188930658,-2.1539581140928021e-07,-1.0244369796907904e-09,13.912652687681419,-0.04453356401423747,0.13030082006926413,0.004317241278142703,1.2008558483789784,-3.7243949009280186e-05,-5.448743678471146e-09,4.360009380022234e-05,20.646793074643462
0.009183673469387754,6.252523857510823,-0.7278707695755031,-0.06833323696001514,-1.9384203078232076e-06,-1.411778483006998e-08,13.91322597515892,-0.04441736403735774,0.1986159938369081,0.004316640194578447,1.2008058864548978,-0.0003832937089267574,-4.9031349647066236e-08,4.488193458840328e-05,20.728526569239467
0.015306122448979581,6.278297674958594,-0.7276997651496941,-0.06820109177701639,-5.3837120681521355e-06,-4.0298626102774904e-08,13.914370162218306,-0.044185033196846746,0.31757478693334207,0.004315439297054802,1.20070598020612,-0.0013316763534518827,-1.3615736982330873e-07,4.744503609899198e-05,20.873888362004447
0.021428571428571436,6.3165164990223275,-0.727443362687282,-0.06800298561573115,-1.0549757508471203e-05,-7.955525249681017e-08,13.916081034533827,-0.04383670962364761,0.4535675009771918,0.0043136391000571095,1.20055616708534,-0.0033938053580673255,-2.667484775287221e-07,5.128823896782819e-05,21.04839836961175
0.027551020408163263,6.366636932137226,-0.7271016871011113,-0.06773905222357257,-1.7434288270834486e-05,-1.3187012104509677e-07,13.918352115429634,-0.043372600276605056,0.550259997664174,0.004311240374501146,1.200356503255243,-0.007333925045116985,-4.406873532758482e-07,5.6409805715418315e-05,21.194407927174346
0.03367346938775509,6.427912606134214,-0.7266749047054546,-0.06740946961281225,-2.603428384873041e-05,-1.9721987221110737e-07,13.921174036375879,-0.042792980650588675,0.5481315805152693,0.004308244146876028,1.2001070635376347,-0.01416567639673083,-6.578178854965699e-07,6.280742281461471e-05,21.250626417445496
0.039795918367346944,6.499375348243348,-0.7261632230174513,-0.0670144597848008,-3.634597474544421e-05,-2.755753543137729e-07,13.924536237464778,-0.042098194393872745,0.38045203845701536,0.004304651698165962,1.199807941346407,-0.025147546153506894,-9.179454103502849e-07,7.047820318462072e-05,21.148085732567754
0.04591836734693877,6.579811504895815,-0.725566890503778,-0.0665542884307122,-4.8364846609416645e-05,-3.66901656390084e-07,13.928425279969646,-0.041288652827489614,-0.026363446485605735,0.00430046456246469,1.199459248603885,-0.041777222969123784,-1.2208370723243434e-06,7.941868956251597e-05,20.810475462919324
0.0520408163265306,6.667713624319731,-0.7248861962845154,-0.06602926449718893,-6.208564536791528e-05,-4.711581497174322e-07,13.932826334544192,-0.04036483437362648,-0.7526575104070865,0.0042956845253598885,1.1990610651227627,-0.06578489003308619,-1.5662221866108439e-06,8.962485833308165e-05,20.154199514749173
0.05816326530612245,6.761325746111197,-0.7241214697816787,-0.06543973974801176,-7.750238262715925e-05,-5.882985287808395e-07,13.937721193338746,-0.03932728389244744,-1.899447040089175,0.00429031362201826,1.198613784580557,-0.09912548901883689,-1.9537926974066977e-06,0.0001010921240229834,19.074511062772533
0.06428571428571428,6.858486079584509,-0.7232730803304506,-0.06478610824512998,-9.460834248997685e-05,-7.182708648967306e-07,13.94309155247426,-0.03817661192805133,-3.5078167401431806,0.004284354135024593,1.1981173028452101,-0.14396999542772093,-2.3832037001625395e-06,0.00011381534446996966,17.52597285849188
0.0704081632653061,6.956662112180766,-0.7223414367314831,-0.06406880575572771,-0.0001133960885688623,-8.61017663611463e-07,13.948915083787181,-0.036913493865654345,-5.649234238230706,0.00427780859196325,1.1975718876218338,-0.2026957503465585,-2.8540740153459865e-06,0.00012778882653563528,15.432183844897901
0.07653061224489796,7.052881431280639,-0.7213269867689434,-0.0632883091157126,-0.00013385747226379863,-1.016475926984839e-06,13.955168557846031,-0.035538669003500445,-8.377942267514435,0.004270679762756302,1.1969789432738,-0.27787589828656856,-3.365986794179321e-06,0.00014300633249675343,12.733332247871576
0.08265306122448979,7.143676898915146,-0.7202302166765975,-0.06244513553193087,-0.00015598364132429765,-1.1845772227569995e-06,13.961827090791939,-0.034052939541396654,-11.741301111062281,0.00426297065673964,1.1963382204128568,-0.3722679850958279,-3.918490245169437e-06,0.00015946108690911842,9.375806167246765
0.08877551020408161,7.2250262667676,-0.7190516505646514,-0.06153984182287786,-0.0001797650495198866,-1.3652477610648361e-06,13.968863393731263,-0.03245716948678279,-15.74744228013813,0.004254684519510832,1.1956493331982863,-0.4888017739093957,-4.511098341097863e-06,0.00017714578405048087,5.344492466683251
0.09489795918367347,7.292286143128877,-0.7177918498013938,-0.06057302361498884,-0.00020519146675823663,-1.5584084719355573e-06,13.976248248766748,-0.03075228348317438,-20.436732132669167,0.004245824829534506,1.1949125429892273,-0.6305663406980972,-5.143291630815838e-06,0.00019605259608468373,0.5912612888767894
0.10102040816326532,7.340120260816548,-0.7164514123580972,-0.05954531447312306,-0.0002322519899848885,-1.7639750915510177e-06,13.983951118873271,-0.0289392655605738,-25.783280247482086,0.0042363952945256855,1.19412806902824,-0.8007965141787814,-5.814518083013809e-06,0.0002161731815313317,-4.866600567341705
0.10714285714285712,7.362421978531074,-0.7150309721107817,-0.0584573850036918,-0.00026093505468693934,-1.9818582556174746e-06,13.99193960073627,-0.027019157816191353,-31.795218782772434,0.004226399847610196,1.1932964145774854,-1.0028587276378644,-6.5241939690707795e-06,0.00023749869439271265,-11.046732574061041
0.11326530612244898,7.360157856308433,-0.7135311981063097,-0.05730994187704752,-0.00029122844728846076,-2.211963589404675e-06,14.000179575044616,-0.024993059023614705,-38.43908297773157,0.004215842643271017,1.1924179318091053,-1.2402363525840059,-7.271704811628865e-06,0.0002600197937390192,-17.91822301583908
0.11938775510204083,7.309142345887722,-0.7119527937907648,-0.05610372684903453,-0.0003231193175601277,-2.454191818102025e-06,14.008635556814665,-0.02286212317433467,-45.65582113040384,0.004204728053082363,1.1914929818190068,-1.516531591670244,-8.056406358036838e-06,0.0002837266538051608,-25.44984565657567
0.12551020408163263,7.20867150208619,-0.7102964962058635,-0.05483951568215417,-0.000356594192471249,-2.7084388604103893e-06,14.01727090596589,-0.020627557958356135,-53.464713777778925,0.004193060661260795,1.1905217021911838,-1.8354341347737986,-8.87762560886074e-06,0.00030860897449258573,-33.66531388277703
0.13163265306122449,7.048645938091795,-0.7085630751488523,-0.05351811709329368,-0.0003916389898144246,-2.974595947224934e-06,14.026046902977427,-0.018290623184078925,-61.79155722143861,0.004180845260012056,1.189504374879471,-2.2006531937233227,-9.734661864158056e-06,0.0003346559923969039,-42.50427386163469
0.13775510204081634,6.817719702457907,-0.706753332302398,-0.05214037160791207,-0.00042823903294220145,-3.252549732657428e-06,14.034924002593723,-0.015852629144355035,-70.58951088573146,0.004168086844710928,1.1884432886743888,-2.615985362763949,-1.0626787846135244e-05,0.00036185649211262216,-51.93506776285774
0.14387755102040814,6.503227767751923,-0.7048681003390982,-0.05070715040578477,-0.00046637906553925745,-3.5421824102765953e-06,14.043861676842655,-0.013314934925674038,-79.7990955702682,0.00415479060887769,1.187338380191374,-3.085251663487119,-1.155325079338354e-05,0.00039019881814539303,-61.91474607971164
0.15,6.090912863852736,-0.7029082419902721,-0.049219354128361203,-0.0005060432673644755,-3.843371837231047e-06,14.052817492855812,-0.010678946674779866,-89.36957285848226,0.004140961939058663,1.1861890332572322,-3.6121443226292254,-1.251327363860355e-05,0.0004196708870090049,-72.41056610102588
