bq,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
0.0,0.06762183176033432,-0.6665332440497025,-0.22394449299367736,0.0,8.617466740190594e-10,2.0505116929405816,-0.002812767488265422,2.3847169902779797e-05,0.0003304269408594962,0.000890265505766763,0.0,0.0,5.324096719050431e-11,1.2260875607007873
0.061224489795918366,1.5887552009298815,-0.6647746371273513,-0.22070198974572364,0.0,8.590916866779708e-10,4.816841997800079,-0.0070886452336011985,0.0034031950338988537,0.000931420357606072,0.13268693440267398,0.0,0.0,3.0285267627050416e-07,5.650053780129231
0.12244897959183673,2.4300316070361987,-0.6659892004332306,-0.21477057335130567,0.0,8.512365257118404e-10,7.181165658461818,-0.011365468789563238,0.009388141919549398,0.0015249404192427818,0.2635977754067653,0.0,0.0,1.1871352008085978e-06,8.993584068655913
0.18367346938775508,3.1451594853665483,-0.6702868185308546,-0.2064035342421846,0.0,8.385216965223208e-10,9.122337757001242,-0.015542834096642366,0.01757109887768671,0.0021348530407605537,0.3902099791449203,0.0,0.0,2.614641992693123e-06,11.785182602041992
0.24489795918367346,3.6559695409341657,-0.6777491359519985,-0.19595529187111183,0.0,8.214746660684114e-10,10.651309497852298,-0.019525896098130602,0.02738159797547368,0.002732926954063686,0.5095456289018578,0.0,0.0,4.526203753130176e-06,13.953713395721845
0.30612244897959184,4.14270504092201,-0.6883957648270638,-0.1838442650754324,0.0,8.007583485181158e-10,11.804915647665926,-0.02323244183528317,0.03816363616255991,0.0033082201193463945,0.6192539179208083,0.0,0.0,6.847594288927894e-06,15.71288083944792
0.36734693877551017,4.524668748025761,-0.7021565630161319,-0.1705135721967963,0.0,7.771099319597852e-10,12.63701821155719,-0.02659809433991711,0.049266040402008215,0.003846045089566985,0.7177064424185371,0.0,0.0,9.496180897627937e-06,17.033246754898226
0.42857142857142855,4.806535467269896,-0.7188580310197565,-0.1563957044778661,0.0,7.512851452062819e-10,13.209172508700785,-0.029579052667827455,0.06010740887174926,0.004334773079950338,0.8040117088756009,0.0,0.0,1.23873622293047e-05,17.979341466746046
0.4897959183673469,5.022899374949702,-0.7382263272430762,-0.14188529201994626,0.0,7.240095190041984e-10,13.58257547910464,-0.03215233228549863,0.07022062043212074,0.004766378261018112,0.877937351868006,0.0,0.0,1.5440016042589377e-05,18.64615069380702
0.5510204081632653,5.180510209289423,-0.7599046724123752,-0.12732163515400075,0.0,6.959406384510203e-10,13.812319747213397,-0.03431393363034374,0.0792757389912957,0.005136480561887424,0.9397876800641107,0.0,0.0,1.858051769687563e-05,19.095508196137033
0.6122448979591837,5.290404568021586,-0.7834799386107676,-0.11298057706182973,0.0,6.676486030698925e-10,13.94418068541984,-0.036075627764375895,0.0870720990694771,0.005443995904034438,0.9902448090447251,0.0,0.0,2.174522377274002e-05,19.38483175991411
0.673469387755102,5.448232305089732,-0.8085124309199045,-0.09907395614152392,0.0,6.396038143563487e-10,14.013588214558307,-0.03746109373791029,0.0935074801516933,0.0056905428563425176,1.0302432605072998,0.0,0.0,2.488156759739013e-05,19.646239204571238
0.7346938775510203,5.495594071144978,-0.8345637915168851,-0.08575434055269682,0.0,6.121776419121261e-10,14.046157362284605,-0.03850202878236786,0.09858689667689013,0.005879750055720834,1.0608485011594126,0.0,0.0,2.7948056875004568e-05,19.748274369138706
0.7959183673469388,5.3767024823623615,-0.8612197302409896,-0.07312282073789689,0.0,5.8565030602864e-10,14.059116628405047,-0.03923466124951602,0.10237554866564125,0.006016576921994421,1.0831591135106216,0.0,0.0,3.091350908945856e-05,19.653824051732002
0.8571428571428571,5.392754120939799,-0.8881061382386548,-0.061238053326530206,0.0,5.602196484488786e-10,14.063089743545873,-0.03969689795285092,0.1049820540209474,0.006106719204687749,1.0982685404984558,0.0,0.0,3.375583635900625e-05,19.676193845088306
0.9183673469387755,5.398666621635584,-0.9148986022921903,-0.0501252822880609,0.0,5.360154542444207e-10,14.063860407584366,-0.03992617566389356,0.10653726372195216,0.006156133371012729,1.107192698993856,0.0,0.0,3.6460631115176056e-05,19.67749952622976
0.9795918367346939,5.39684970026542,-0.9413262463039018,-0.03978456168568556,0.0,5.131114422241012e-10,14.063904388311068,-0.03995797695994696,0.10718074120488374,0.006170685880779736,1.1108748289248247,0.0,0.0,3.9019733172551696e-05,19.663950579883725
1.0408163265306123,5.388905279571645,-0.9671712312038636,-0.03019779796393607,0.0,4.915372553426778e-10,14.06361781206747,-0.03982491081445971,0.10705222584287455,0.0061559160684829806,1.110151935853601,0.0,0.0,4.142989266853192e-05,19.638730659806022
1.1020408163265305,5.375885664923544,-0.9922652863665462,-0.02133450280346949,0.0,4.712890078195642e-10,14.062223936801336,-0.0395562365270834,0.10628304490322726,0.00611689294198392,1.1057714644971597,0.0,0.0,4.369159116635046e-05,19.60316867043261
1.163265306122449,5.3584873115614755,-1.0164844765411942,-0.013156314761033627,0.0,4.523388330568423e-10,14.058402673737504,-0.03917771231387235,0.10499324663819998,0.006058144030032686,1.098382180018108,0.0,0.0,4.580804512954728e-05,19.55755086086669
