C3,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.3,5.385309995402167,-3.068286795015233,-0.2304315811342157,0.0,1.3407764174466763e-06,-38.81087691371377,-0.13562354937671017,0.30332712104218373,0.02243239338313341,-68.0,0.0,0.0,8.953639604669661e-05,-104.53405845223998
-0.29387755102040813,5.9307788338931005,-2.9910977072651477,-0.2232474630869028,0.0,1.2997489799992934e-06,-35.25776516599586,-0.13196473053058355,0.29556422958448714,0.021607504858996762,-68.0,0.0,0.0,8.779003170289457e-05,-100.35603540876124
-0.28775510204081634,6.355654992795053,-2.914476467936865,-0.2161636202266095,0.0,1.2587214395232138e-06,-31.840901004672222,-0.12834721379086744,0.2878716325659685,0.020946209881633315,-68.0,0.0,0.0,8.604354181684926e-05,-96.43532816912065
-0.2816326530612245,6.741558572537542,-2.8384565539040594,-0.20918004756631348,0.0,1.217693796906616e-06,-28.558888835075106,-0.12477068256803392,0.2802496761197286,0.020296364046490822,-68.0,0.0,0.0,8.429692638500796e-05,-92.68910599178956
-0.2755102040816326,7.0900897639764935,-2.763037647551016,-0.202296740112768,0.0,1.1766660517054106e-06,-25.410343021657074,-0.12123482616600256,0.27270224151700795,0.019658958661080028,-68.0,0.0,0.0,8.255018540737069e-05,-89.11437754448082
-0.2693877551020408,7.403528769948252,-2.6882197490139745,-0.19551369287221476,0.0,1.1356382039195978e-06,-22.393883128465024,-0.11773933502806955,0.26523078510543563,0.019030960622058224,-68.0,0.0,0.0,8.080331888749015e-05,-85.70748345074645
-0.26326530612244897,7.683930756678592,-2.6140028592098616,-0.18883090085067877,0.0,1.0946102537712221e-06,-19.50813411426081,-0.11428390077984574,0.25783659137496784,0.01841735140064582,-68.0,0.0,0.0,7.905632681115549e-05,-82.46498692470992
-0.2571428571428571,7.933186263197513,-2.540386981595887,-0.18224835905610703,0.0,1.0535822009272167e-06,-16.751726926741565,-0.11086821622912879,0.2505218308795616,0.017815018497558732,-68.0,0.0,0.0,7.73092092032357e-05,-79.38362900825665
-0.2510204081632653,8.153089281091752,-2.46737212128798,-0.17576606249490823,0.0,1.012554045609626e-06,-14.123297318798858,-0.10749197536735267,0.2432891446614267,0.01722362198399363,-68.0,0.0,0.0,7.556196604596721e-05,-76.46024885569184
-0.24489795918367346,8.345266629375146,-2.3949582843881245,-0.16938400617402039,0.0,9.715257878184502e-07,-11.621487138776384,-0.10415487336787521,0.2361400413993877,0.016642843142908426,-68.0,0.0,0.0,7.381459733935003e-05,-73.69186000266583
