C,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.3,-242.52342691899162,-2.00677945099919,-0.2159511734256654,-0.0002802743367134042,-2.127849183741759e-06,-37.582103780519205,-0.11611111083634285,-38.764465786948435,0.014767391263148077,2.5629264896610984,-7.120501532493165,-1.763379528441078e-05,0.0003169544623453646,-325.7516289548082
-0.29387755102040813,-218.2618666483503,-1.9591217157886263,-0.20969054836048784,-0.0002745529258163515,-2.0844208031833844e-06,-34.11586744436454,-0.11289320307142248,-37.368165796637726,0.014414245356726418,2.5376049219671337,-6.562015068388561,-1.692139108833146e-05,0.0003104890610963196,-296.0375843273144
-0.28775510204081634,-195.85576407344774,-1.911764906226466,-0.2035070869679707,-0.0002688315785306372,-2.040992543084208e-06,-30.78241156756447,-0.10971438647547416,-35.979810557423846,0.013982509903438078,2.510278735966663,-6.0370907667473634,-1.6223675782356395e-05,0.0003040235324647256,-268.3557851716977
-0.2816326530612245,-175.1083986538597,-1.864685724211654,-0.19740079328095916,-0.00026311029485626136,-1.997564403555252e-06,-27.58030614073945,-0.1065750659989888,-34.601440428525876,0.013556508859335459,2.4809794979263664,-5.544350694422699,-1.554064936115651e-05,0.0002975578764505826,-242.5086045848858
-0.2755102040816326,-155.9397863446103,-1.8178843961699656,-0.19137167136710787,-0.00025738907474703865,-1.9541363838193604e-06,-24.508202239438834,-0.10347494559304238,-33.23345840679215,0.013135560918382083,2.4497696992865787,-5.082445924117604,-1.487231181940274e-05,0.0002910920930467853,-218.41370179131397
-0.2693877551020408,-138.2525676010764,-1.771360960157935,-0.18541972530758954,-0.0002516679182917869,-1.9107084844316446e-06,-21.564755750119918,-0.10041373347116433,-31.876560705094175,0.012719688826114961,2.416710842887108,-4.650056537770087,-1.4218663139331511e-05,0.00028462618227464986,-195.9716876523917
-0.26326530612244897,-122.00536736123433,-1.7251154557443016,-0.17954495916945135,-0.00024594682541234647,-1.8672807051700602e-06,-18.748628552325908,-0.09739113888036854,-30.537521493509903,0.012309535620924628,2.3818639854319237,-4.2458916265200095,-1.3579703320942826e-05,0.00027816014411286005,-175.14527029999672
-0.2571428571428571,-107.10549128053253,-1.6791479222480135,-0.1737473770208986,-0.00024022579615134987,-1.8238530462566516e-06,-16.058488458456043,-0.09440687213228927,-29.217890654973505,0.011903869532583933,2.345288463717436,-3.868708361640552,-1.295543235002583e-05,0.000271693978572074,-155.8406719048568
-0.2510204081632653,-93.47953785402342,-1.6334583987517277,-0.16802698293798102,-0.0002345048304803754,-1.7804255079134634e-06,-13.493007616522906,-0.0914606446027264,-27.912309596164516,0.01150340852956333,2.307042623621914,-3.517282723080278,-1.234585022302781e-05,0.000265227685648739,-137.9765211873526
-0.24489795918367346,-81.05155721518463,-1.5880469240986343,-0.1623837809956541,-0.0002287839284029758,-1.7369980895853843e-06,-11.050864496832116,-0.08855216873194394,-26.621471528136052,0.011108249594595776,2.267188413402131,-3.19038175330766,-1.1750956927514267e-05,0.0002587612653393023,-121.47494471490805
