C,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.3,-7.342080948273633,-2.69111000282696,-0.2757392044120337,0.0,1.6157712945386038e-09,-33.6695254829218,-0.1302931750504328,0.5469531105659993,0.023226430992886016,2.528153670405924,0.0,0.0,8.217447731340144e-05,-41.010333425426964
-0.29387755102040813,-6.269850932569852,-2.624788110289913,-0.2679808895689568,0.0,1.5827964494619096e-09,-30.432604305727345,-0.12682273928744792,0.5318984547664662,0.022560890197733663,2.5022882408442513,0.0,0.0,8.049942277210675e-05,-36.665218890629504
-0.28775510204081634,-5.245505909550502,-2.5589478513060655,-0.26031128669082193,0.0,1.549821271318308e-09,-27.32050662211045,-0.12339028341150282,0.5164313204593913,0.021868264052110398,2.474497124847659,0.0,0.0,7.882428591443613e-05,-32.49578641787445
-0.2816326530612245,-4.280565568405564,-2.4935814941346166,-0.2527304008203757,0.0,1.5168463152193112e-09,-24.331991765484474,-0.1199955302896285,0.5006397598125609,0.02118633751073329,2.444825256265041,0.0,0.0,7.714906673683686e-05,-28.51213625496274
-0.2755102040816326,-3.3548573367379504,-2.4286891696271127,-0.24523823700384995,0.0,1.483871470142617e-09,-21.465825132782832,-0.11663820282311121,0.48479311895297883,0.020514619426112546,2.4133315085778797,0.0,0.0,7.547376524286165e-05,-24.69253335676877
-0.2693877551020408,-2.491750248003882,-2.364270930059746,-0.2378348002866275,0.0,1.4508964030213178e-09,-18.720775953356615,-0.1133180249476311,0.468808569682972,0.01985356818040529,2.3800735401837017,0.0,0.0,7.379838142895778e-05,-21.059140478775095
-0.26326530612244897,-1.6918607851298475,-2.300326830183465,-0.2305200957147342,0.0,1.4179213359000187e-09,-16.095618501013327,-0.11003472162045824,0.4529677220893298,0.01920179314467152,2.3451119481719562,0.0,0.0,7.212291530933612e-05,-17.611007345922648
-0.2571428571428571,-0.943266517154143,-2.2368569258485707,-0.22329412833321882,0.0,1.3849464908233244e-09,-13.58913147475024,-0.10678801882194477,0.4373202382199075,0.018559874711123747,2.3084988311628827,0.0,0.0,7.044736685912767e-05,-14.334887672062397
-0.2510204081632653,-0.2396342592514884,-2.1738612735839524,-0.2161569031879047,0.0,1.3519714237020253e-09,-11.20009721440725,-0.10357764355410382,0.4215836048903778,0.01792776589070133,2.270295002890423,0.0,0.0,6.877173609609599e-05,-11.22345214722513
-0.24489795918367346,0.41178222778944473,-2.1113399302548572,-0.20910842532388685,0.0,1.3189964676030286e-09,-8.927304806813474,-0.1004033238414479,0.40593265392459976,0.017305339535019115,2.230554266489129,0.0,0.0,6.709602302024109e-05,-8.282514901153457
-0.2387755102040816,1.0178511037063345,-2.0492929527950636,-0.20214869978822136,0.0,1.2860215115040319e-09,-6.76954721213551,-0.09726478873128741,0.3903877569658043,0.01669263091539186,2.189339751778288,0.0,0.0,6.542022762801025e-05,-5.503916988570614
-0.23265306122448978,1.5719703842889885,-1.9877203980029208,-0.19527773162433348,0.0,1.2530465554050352e-09,-4.725621699006229,-0.0941617682927145,0.37451143498471673,0.0160895649310433,2.1467029312222294,0.0,0.0,6.374434991585076e-05,-2.8934435358962576
-0.22653061224489796,2.0894772252654548,-1.9266223223809078,-0.18849552587822416,0.0,1.2200715993060385e-09,-2.794330718495644,-0.09109399361826576,0.35838716805780635,0.015496425729979002,2.102699497585615,0.0,0.0,6.206838989442076e-05,-0.4344201741242206
-0.2204081632653061,2.5653046191612248,-1.8659987820089512,-0.1818020875959867,0.0,1.1870966432070418e-09,-0.9744812135901952,-0.08806119682169111,0.34246380005437693,0.014912041879828308,2.0573882039039333,0.0,0.0,6.039234754240397e-05,1.869785778517178
-0.21428571428571427,2.9976509541133964,-1.8058498324513863,-0.1751974218223573,0.0,1.154121687108045e-09,0.7351144931495313,-0.08506311104022757,0.32675666841519124,0.014337617686592807,2.010824855762726,0.0,0.0,5.871622288822209e-05,4.018632941190477
-0.20816326530612245,3.3945772913957626,-1.7461755286785632,-0.16868153360279337,0.0,1.121146619986746e-09,2.3356401307038723,-0.08209947043332733,0.31128349570650293,0.013772648662913944,1.9630613921422153,0.0,0.0,5.704001590345342e-05,6.021435467033633
-0.2020408163265306,3.751534126028673,-1.6869759250087242,-0.1622544279818321,0.0,1.0881717749100517e-09,3.828274731713371,-0.07917001018287806,0.29606074759253254,0.013217100249600655,1.914156677717493,0.0,0.0,5.5363726602308816e-05,7.87489838494301
-0.19591836734693877,4.074652435651842,-1.6282510750582873,-0.15591611000587235,0.0,1.055196818811055e-09,5.214192176907456,-0.07627446649346581,0.28110350468548084,0.012670940560056465,1.8641667771311532,0.0,0.0,5.36873549918937e-05,9.586397871788552
-0.18979591836734694,4.362734017034882,-1.570001031706056,-0.14966658472049232,0.0,1.0222218627120583e-09,6.494561881558912,-0.07341257659164313,0.26642555714281,0.012131669234672238,1.813140146529257,0.0,0.0,5.2010901065102644e-05,11.15596509040563
-0.18367346938775508,4.616810538624577,-1.5122258470568681,-0.1435058571689325,0.0,9.892467955907591e-10,7.67054836174988,-0.07058407872726491,0.252044105539726,0.011604495123724412,1.7611398986368787,0.0,0.0,5.0334364814830224e-05,12.585881952075782
