bl,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.02,6.439349430952461,-0.7219369463346865,-0.06374044727251871,-0.00016454788432085365,-7.39703257424118e-07,13.949347461136156,-0.03755973468926754,-4.332929640273051,0.003758175317037704,1.1976119154329616,-14.305774460790984,-3.048517188020128e-06,0.0001335888002529373,2.128091006173598
-0.019183673469387756,6.494847036135525,-0.7219744658627647,-0.06377067208227061,-0.0001603545834250042,-7.486083960506207e-07,13.949281610212537,-0.03751506181031061,-4.4213568867089155,0.0037988284301953,1.197611748540762,-12.141632550874588,-3.0303687896804377e-06,0.0001330476001299985,4.2592585000196905
-0.018367346938775512,6.547563225692102,-0.7220104072180789,-0.06379963991265214,-0.00015633576379059377,-7.571430243880073e-07,13.94921845653806,-0.037472267735161324,-4.506826881888102,0.0038381307122739017,1.1976115826007145,-10.2364319940748,-3.0129744015283677e-06,0.00013252891750425988,6.131662627750643
-0.017551020408163268,6.597540665323095,-0.722044788362652,-0.06382735045241006,-0.00015249145600293446,-7.653070729363165e-07,13.949157916284983,-0.03743133265864884,-4.589147033196488,0.0038758303135608685,1.1976114248302387,-8.568683817554943,-2.996334298899228e-06,0.000132032756500422,7.767027294185864
-0.01673469387755102,6.64484506729309,-0.7220776089059626,-0.06385380340967117,-0.0001488216893221761,-7.73100476969546e-07,13.949099966817508,-0.03739225679760949,-4.668307931646286,0.0039119141212555775,1.1976112742190654,-7.117822032592567,-2.9804487500229015e-06,0.00013155912111173507,9.185993572981387
-0.015918367346938776,6.542198837034448,-0.7221088685446375,-0.06387899851074152,-0.00014532649165488465,-7.805231726498718e-07,13.94904465870016,-0.037355040356516156,-4.744089729934947,0.003946368675297407,1.1976111307724242,-5.864203145572468,-2.9653180035893456e-06,0.00013110801510052283,10.261147247945289
-0.015102040816326531,6.584419865592736,-0.7221385669894715,-0.06390293549361914,-0.00014200588956470028,-7.875751018016075e-07,13.948992016840558,-0.03731968353172732,-4.816534971468872,0.003979181114485364,1.1976109944914004,-4.789110468953686,-2.950942306512161e-06,0.00013067944210476412,11.305980366636932
-0.014285714285714287,6.624120772386277,-0.7221667039656197,-0.06392561409937159,-0.0001388599083753661,-7.942562079144011e-07,13.94894205647789,-0.03728618650796278,-4.885585430683518,0.004010339179299827,1.1976108653772108,-3.874752958561519,-2.937321886165023e-06,0.00013027340553861677,12.190954821521759
-0.013469387755102041,6.6613499568920815,-0.7221932792118793,-0.06394703409503322,-0.00013588857191493275,-8.005664366983467e-07,13.948894792053038,-0.03725454946130924,-4.951177339704087,0.00403983121819973,1.1976107434306211,-3.104267999133402,-2.9244569557107525e-06,0.0001298899086528138,12.933045398301575
-0.012653061224489795,6.69615310606423,-0.722218292483376,-0.06396719525611516,-0.00013309190292076778,-8.06505737749319e-07,13.948850194977954,-0.03722477255760026,-5.013234385450728,0.004067646193555596,1.1976106286526758,-2.4617222016143128,-2.91234772831217e-06,0.0001295289545062417,13.548307446724403
-0.01183673469387755,6.728573199291077,-0.7222417435473574,-0.06398609736876892,-0.00013046992260257184,-8.120740633277279e-07,13.948808317069387,-0.03719685595369526,-5.071697573823567,0.004093773687329438,1.1976105210443144,-1.9321128612259368,-2.9009943887103873e-06,0.00012919054600502022,14.051845686727733
-0.011020408163265306,6.758650511955466,-0.7222636321870795,-0.06400374023584732,-0.00012802265091238496,-8.172713685805633e-07,13.948769176655173,-0.03717079979527682,-5.1265192705834846,0.0041182039063922815,1.1976104206062406,-1.5013692848644347,-2.890397123422872e-06,0.00012887468583144823,14.457818729823577
